"plant_id","datetime","treatment","genotype","group","date","dap","solidity","sv_area","tv_area","extent_x","extent_y","height_above_bound","fw_biomass","dw_biomass","height_width_ratio","tiller_count","wue"
"Dp1AD000061",1386761485,33,"A10","A10-33","2013-12-11 05:31:25",15,0.169395950452,29715.322634935,14745.81442345,7.79672108427033,11.2030555385632,11.1879162743219,0.845331800494721,0.0823270991297187,1.43495145631068,2.30460095571878,108.847335659103
"Dr3AA000416",1386761631,100,"R98","R98-100","2013-12-11 05:33:51",15,0.172149162761,27294.4509078437,14814.0644612803,7.22142904310087,14.9424538061647,14.9273145419234,0.754433833568613,0.0716157359281475,2.06708595387841,0.900671803619029,91.2857889894438
"Dr1AD000176",1386761851,33,"R20","R20-33","2013-12-11 05:37:31",15,0.134400018653,40249.8631555525,21356.2243375308,10.642902761635,16.1838734739514,16.1687342097101,1.24087870416126,0.128938114664019,1.51920341394026,2.20711299151911,126.971177146853
"Dr6AA000711",1386762000,100,"R133","R133-100","2013-12-11 05:40:00",15,0.165054340891,30371.0742474086,11188.9374519105,6.93378302251614,15.5026065830929,15.5026065830929,0.869953711567218,0.0852285307143073,2.23580786026201,0.556684387444829,99.2518766255182
"Dr4AD000576",1386762219,33,"R102","R102-33","2013-12-11 05:43:39",15,0.202565503515,11671.2399148589,8281.61709041335,5.6015277692816,5.96487011107284,5.93459158259023,0.167819474687977,0.00248944334192013,1.05945945945946,2.9777122498333,41.3873755846061
"Dr1AA000201",1386762439,100,"R20","R20-100","2013-12-11 05:47:19",15,0.151541224602,38698.0758375832,23315.0004232598,10.5217886477046,14.5336936716495,14.5034151431669,1.18261278667103,0.122072093061821,1.37841726618705,2.50252819627108,123.636025040202
"Dr3AD000471",1386762658,33,"R98","R98-33","2013-12-11 05:50:58",15,0.13910911943,27218.3419652672,15015.6645730251,7.87241740547684,13.9584016304801,13.9281231019975,0.751576124063528,0.0712789851132647,1.76923076923077,1.5521434720885,77.3248351285999
"Dr8AD000967",1386763083,33,"R187","R187-33","2013-12-11 05:58:03",15,0.282957779332,25054.2667451735,10560.7746037264,6.31307318862277,10.4763708549807,10.4309530622568,0.670320254295478,0.0617038409953255,1.65227817745803,1.79032476533433,86.3940232592189
"Dr4AA000511",1386763294,100,"R102","R102-100","2013-12-11 06:01:34",15,0.325630082115,11598.5473337946,7191.58523622014,4.08760134515144,5.51069218383379,5.49555291959249,0.165090041420027,0.00216780852371537,1.34444444444444,2.35318914199038,37.903749456845
"Dr5AA000602",1386763590,100,"R128","R128-100","2013-12-11 06:06:30",15,0.334633743016,24412.7499723339,16920.6281289264,7.5090750636856,8.4628487108876,8.4477094466463,0.646232827544381,0.0588653927302287,1.125,2.93940887458714,72.6569939652795
