 ,Label,Circ.,AR,Round,Solidity
118,apple_204.jpg,0.361,1.962,0.510,0.771
119,apple_205.jpg,0.378,2.020,0.495,0.790
120,apple_206.jpg,0.355,1.927,0.519,0.771
121,apple_207.jpg,0.486,1.429,0.700,0.810
122,apple_208.jpg,0.430,1.569,0.637,0.791
123,apple_209.jpg,0.452,1.453,0.688,0.789
124,apple_21.jpg,0.450,1.553,0.644,0.812
125,apple_210.jpg,0.451,1.582,0.632,0.810
126,apple_211.jpg,0.491,1.823,0.549,0.872
127,apple_212.jpg,0.409,1.552,0.644,0.793
128,apple_213.jpg,0.377,1.819,0.550,0.765
129,apple_214.jpg,0.419,1.720,0.581,0.808
130,apple_215.jpg,0.456,1.657,0.604,0.839
131,apple_216.jpg,0.364,2.325,0.430,0.785
132,apple_217.jpg,0.356,2.362,0.423,0.782
133,apple_218.jpg,0.330,2.339,0.428,0.763
134,apple_219.jpg,0.359,2.282,0.438,0.772
135,apple_22.jpg,0.409,1.649,0.606,0.842
136,apple_220.jpg,0.412,1.762,0.568,0.803
137,apple_221.jpg,0.339,2.236,0.447,0.761
138,apple_222.jpg,0.407,1.928,0.519,0.807
139,apple_223.jpg,0.374,2.209,0.453,0.794
140,apple_224.jpg,0.342,2.323,0.430,0.779
141,apple_225.jpg,0.361,2.302,0.434,0.782
142,apple_226.jpg,0.409,1.605,0.623,0.796
143,apple_227.jpg,0.426,1.273,0.785,0.789
144,apple_228.jpg,0.452,1.193,0.838,0.823
145,apple_229.jpg,0.395,1.840,0.543,0.787
146,apple_23.jpg,0.357,2.099,0.476,0.798
147,apple_230.jpg,0.389,1.769,0.565,0.797
148,apple_231.jpg,0.465,1.600,0.625,0.856
149,apple_232.jpg,0.424,1.845,0.542,0.822
150,apple_233.jpg,0.455,1.709,0.585,0.826
151,apple_234.jpg,0.443,1.802,0.555,0.844
152,apple_235.jpg,0.464,1.556,0.643,0.864
153,apple_236.jpg,0.424,1.606,0.623,0.826
154,apple_237.jpg,0.488,1.645,0.608,0.873
155,apple_238.jpg,0.422,2.047,0.488,0.852
156,apple_239.jpg,0.362,2.064,0.485,0.778
157,apple_24.jpg,0.470,1.834,0.545,0.865
158,apple_240.jpg,0.387,2.038,0.491,0.812
